날짜,방송시간,방송상품명,상품카테고리,제작자,론칭여부,난이도
2026-06-28,15:00,[해피콜] 다이아몬드 프라이팬 세트,리빙,최그래픽,O,중
2026-06-28,16:00,[위NIA] 딤채 스탠드형 김치냉장고,가전,김미디어,O,하
2026-06-28,17:00,[헤드] 에어로 드라이 남녀 트랙수트,패션,이아트,O,상
2026-06-28,18:00,[목우촌] 수제 햄 명절 선물세트,식품,박디자인,O,하
2026-06-28,19:00,[센트룸] 멀티 비타민 포 맨/우먼,건강기능식품,최그래픽,O,중
2026-06-28,20:00,[설화수] 자음 2인 기초 세트,뷰티,김미디어,O,상
2026-06-28,21:00,[파크론] 고밀도 PVC 주방매트 2+1,리빙,이아트,O,중
2026-06-28,22:00,[신일] 에어 서큘레이터 스탠드형,가전,박디자인,O,하
2026-06-28,23:00,[지오지아] 쿨 비즈니스 셔츠 3매,패션,최그래픽,O,상
2026-06-28,00:00,[하림] 닭가슴살 캔 + 훈제 세트,식품,김미디어,O,하
2026-06-28,01:00,[뉴트리원] 루테인 지아잔틴 169,건강기능식품,이아트,O,중
2026-06-28,02:00,[동국제약] 마데카 크림 시즌6 세트,뷰티,박디자인,O,상
2026-06-28,03:00,[스위스밀리터리] 28인치 캐리어,리빙,최그래픽,O,중
